title;link;description;pubdate;perimetre_juridique;perimetre_spatial
Lignes haute tension (HTA aérien) - Guyane;http://opendata-corse-outremer.edf.fr/explore/dataset/lignes-haute-tension-hta-aerien-guy/;"Ce
jeu de données présente l'ensemble des lignes haute tension (HTA) aériennes de la Guyane. 
Ces
données sont publiées à titre purement indicatif, EDF ne peut garantir leur
exactitude et leur exhaustivité. Des mises à jour seront publiées
régulièrement.";2022-02-08T18:02:50+01:00;EDF SA;Corse et/ou Outre Mer
Lignes basse tension (BT aérien) - Guyane;http://opendata-corse-outremer.edf.fr/explore/dataset/lignes-basse-tension-bt-aerien-guy/;"Ce
jeu de données présente l'ensemble des lignes basse tension (BT) aériennes
de la Guyane.

Ces données sont publiées à titre purement indicatif, EDF ne peut
garantir leur exactitude et leur exhaustivité. Des mises à jour seront publiées
régulièrement.";2022-02-08T18:02:13+01:00;EDF SA;Corse et/ou Outre Mer
Lignes haute tension (HTB aérien) - Corse;http://opendata-corse-outremer.edf.fr/explore/dataset/lignes-haute-tension-htb-aerien/;"Ce jeu de données présente l'ensemble des lignes haute tension (HTB)
aériennes de Corse. 
Ces données sont publiées à titre purement indicatif, EDF ne peut garantir
leur exactitude et leur exhaustivité. Des mises à jour seront publiées
régulièrement.";2022-02-08T17:58:59+01:00;EDF SA;Corse et/ou Outre Mer
Lignes haute tension (HTB souterrain) - Corse;http://opendata-corse-outremer.edf.fr/explore/dataset/lignes-haute-tension-htb-souterrain/;"Ce jeu de données présente l'ensemble des lignes haute tension (HTB)
souterraines de Corse. 
Ces données sont publiées à titre purement indicatif, EDF ne peut garantir
leur exactitude et leur exhaustivité. Des mises à jour seront publiées
régulièrement.";2022-02-08T17:58:20+01:00;EDF SA;Corse et/ou Outre Mer
Lignes basse tension (BT aérien) - Corse;http://opendata-corse-outremer.edf.fr/explore/dataset/lignes-basse-tension-bt-aerien/;"Ce
jeu de données présente l'ensemble des lignes basse tension (BT) aériennes de Corse. 
Ces données sont publiées à titre purement indicatif, EDF ne peut
garantir leur exactitude et leur exhaustivité. Des mises à jour seront publiées
régulièrement.";2022-02-08T17:57:46+01:00;EDF SA;Corse et/ou Outre Mer
Pylônes HTB - Corse;http://opendata-corse-outremer.edf.fr/explore/dataset/pylones-htb/;"Ce
jeu de données représente la position des pylônes HTB sur l’ensemble du réseau électrique
exploité par EDF en Corse.
Ces
données sont publiées à titre purement indicatif, EDF ne peut garantir leur
exactitude et leur exhaustivité. Des mises à jour seront publiées
régulièrement.";2022-02-08T17:55:54+01:00;EDF SA;Corse et/ou Outre Mer
Lignes haute tension (HTA souterrain) - Corse;http://opendata-corse-outremer.edf.fr/explore/dataset/lignes-haute-tension-hta-souterrain0/;"Ce
jeu de données présente l'ensemble des lignes haute tension (HTA) souterraines de Corse. 
Ces données sont publiées à titre purement indicatif, EDF ne peut
garantir leur exactitude et leur exhaustivité. Des mises à jour seront publiées
régulièrement.";2022-02-08T17:54:40+01:00;EDF SA;Corse et/ou Outre Mer
Lignes basse tension (BT souterrain) - Guadeloupe;http://opendata-corse-outremer.edf.fr/explore/dataset/lignes-basse-tension-bt-souterrain1/;"Ce
jeu de données présente l'ensemble des lignes basse tension (BT) souterraines de Guadeloupe.   
Ces données sont publiées à titre purement indicatif, EDF ne peut
garantir leur exactitude et leur exhaustivité. Des mises à jour seront publiées
régulièrement.";2022-02-08T17:48:59+01:00;EDF SA;Corse et/ou Outre Mer
Lignes haute tension (HTB souterrain) - Réunion;http://opendata-corse-outremer.edf.fr/explore/dataset/lignes-haute-tension-htb-souterrain-run/;"Ce jeu de données présente l'ensemble des lignes haute tension (HTB) souterraines de l'île de la Réunion.   Ces
 données sont publiées  à titre purement indicatif, EDF ne peut garantir
 leur exactitude et  leur exhaustivité. Des mises à jour seront publiées
 régulièrement.";2022-02-08T17:46:01+01:00;EDF SA;Corse et/ou Outre Mer
Lignes basse tension (BT aérien) - Réunion;http://opendata-corse-outremer.edf.fr/explore/dataset/lignes-basse-tension-bt-aerien-run/;"Ce jeu de données présente l'ensemble des lignes basse tension (BT) aériennes de l'île de la Réunion.   Ces
 données sont publiées  à titre purement indicatif, EDF ne peut garantir
 leur exactitude et  leur exhaustivité. Des mises à jour seront publiées
 régulièrement.   Mis a jour en Fevrier 2020";2022-02-08T17:44:16+01:00;EDF SA;Corse et/ou Outre Mer
Lignes basse tension (BT souterrain) - Réunion;http://opendata-corse-outremer.edf.fr/explore/dataset/lignes-basse-tension-bt-souterrain2/;Ce jeu de données présente l'ensemble des lignes basse tension (BT) souterraines de La Réunion. Ces données sont publiées à titre purement indicatif, EDF ne peut garantir leur exactitude et leur exhaustivité. Des mises à jour seront publiées régulièrement.;2022-02-08T17:41:57+01:00;EDF SA;Corse et/ou Outre Mer
Déconnexion maximale des installations photovoltaïques;http://opendata-corse-outremer.edf.fr/explore/dataset/deconnexions-des-installations-photovoltaiques/;La part maximale d'énergies renouvelables intermittentes (éolien et photovoltaïque sans stockage) pouvant être injectée sur les réseaux insulaires à un instant donné est limitée à 35%. Au delà de ce seuil, des déconnexions ou limitations sont possibles afin de préserver la stabilité du système électrique.   Ce jeu de données détaille mois par mois le nombre maximal d'heures de déconnexion et de limitation des installations photovoltaïques.  A compter de 2019, un nouvel indicateur est intégré au jeu de donnée : le taux d'ENR interfacé par électronique de puissance accepté.;2022-06-23T15:56:33+02:00;EDF SA;Corse et/ou Outre Mer
Poste source - Guyane;http://opendata-corse-outremer.edf.fr/explore/dataset/poste-source-guy/;"Ce
jeu de données représente la position des postes source sur l’ensemble du
réseau électrique exploité par EDF en Guyane.
Ces
données sont publiées à titre purement indicatif, EDF ne peut garantir leur
exactitude et leur exhaustivité. Des mises à jour seront publiées
régulièrement";2022-02-08T18:21:31+01:00;EDF SA;Corse et/ou Outre Mer
Signal réseau Martinique - Recharge véhicule électrique;http://opendata-corse-outremer.edf.fr/explore/dataset/signal-reseau-martinique-recharge-vehicule-electrique/;"Les spécificités du système électrique  insulaire de la Martinique  incitent à prendre des précautions concernant le  développement de la  mobilité électrique.   EDF en Martinique propose ainsi, à travers ce  jeu de données, un signal réseau  afin d'inciter le pilotage  intelligent de la recharge des véhicules  électriques en : 
Évitant les périodes de contraintes sur le réseau, et notamment la pointe de consommation du soirDiminuant   l’impact CO2 en favorisant la recharge pendant les heures où le mix   électrique est moins carboné (heures solaires principalement) La valeur 1 signifie que le créneau est favorable et que le recharge est conseillée.    La valeur 0 signifie que le créneau est défavorable et que la recharge est à éviter si possible.  Le fuseau horaire des données est celui de la Martinique (UTC-4)   Une authentification (compte) est nécessaire pour l'utilisation  régulière  de l'API, en particulier dans le cadre du programme ADVENIR  ZNI (voir  pièce-jointe). Vous pouvez adresser vos questions à l'adresse suivante : sei-opendata@edf.fr";2022-02-08T18:15:18+01:00;EDF SA;Corse et/ou Outre Mer
Postes HTA / BT - Guyane;http://opendata-corse-outremer.edf.fr/explore/dataset/postes-hta-bt-guy/;"Ce
jeu de données représente la position des postes de distribution publique
(postes HTA/BT) sur l’ensemble du réseau de distribution exploité par EDF en Guyane.
Ces données sont publiées à titre purement indicatif, EDF ne peut
garantir leur exactitude et leur exhaustivité. Des mises à jour seront publiées
régulièrement.";2022-02-08T18:06:55+01:00;EDF SA;Corse et/ou Outre Mer
Lignes haute tension (HTA souterrain) - Guyane;http://opendata-corse-outremer.edf.fr/explore/dataset/lignes-haute-tension-hta-souterrain/;"Ce
jeu de données présente l'ensemble des lignes haute tension (HTA) souterraines
de la Guyane. 
Ces
données sont publiées à titre purement indicatif, EDF ne peut garantir leur
exactitude et leur exhaustivité. Des mises à jour seront publiées
régulièrement.";2022-02-08T18:00:01+01:00;EDF SA;Corse et/ou Outre Mer
Pylônes HTB - Guadeloupe;http://opendata-corse-outremer.edf.fr/explore/dataset/pylones-htb-gua/;"Ce
jeu de données représente la position des pylônes HTB sur l’ensemble du réseau électrique
exploité par EDF en Guadeloupe. 
Ces données sont publiées à titre purement indicatif, EDF ne peut
garantir leur exactitude et leur exhaustivité. Des mises à jour seront publiées
régulièrement.";2022-02-08T17:50:44+01:00;EDF SA;Corse et/ou Outre Mer
Lignes haute tension (HTA souterrain) - Réunion;http://opendata-corse-outremer.edf.fr/explore/dataset/lignes-haute-tension-hta-souterrain2/;"Ce
jeu de données présente l'ensemble des lignes haute tension (HTA) souterraines
de La Réunion. 
Ces
données sont publiées à titre purement indicatif, EDF ne peut garantir leur
exactitude et leur exhaustivité. Des mises à jour seront publiées
régulièrement.";2022-02-08T17:42:41+01:00;EDF SA;Corse et/ou Outre Mer
Lignes et postes électriques;http://opendata-corse-outremer.edf.fr/explore/dataset/lignes-et-postes-electriques/;Données relatives aux lignes et postes électriques des réseaux insulaires : longueur (en km) des lignes basse tension (BT), moyenne tension (HTA) et haute tension (HTB), ainsi que le nombre de postes sources (HTB/HTA, dont les postes de production uniquement) et de postes de distribution (HTA/BT);2018-01-17T11:52:23+01:00;EDF SA;Corse et/ou Outre Mer
Effacements de consommation mensuels;http://opendata-corse-outremer.edf.fr/explore/dataset/effacements-mensuels/;Historique mensuel des effacements de consommation électrique réalisés.  L’effacement consiste pour un consommateur à renoncer ou reporter tout ou une partie de sa consommation, en réaction à un signal émis par EDF pendant une période de contrainte pour le système électrique (déséquilibre offre/demande).   A l’heure actuelle, les effacements ont été contractualisés uniquement avec des clients industriels. Durée cumulée d'effacements par mois (h)Volume effacé par mois (MWh) Il s'agit de la situation au 31/12/2019.  Attention : pour la Corse, les données 2018 sont manquantes et seront mises à jour prochainement.;2022-09-20T16:29:36+02:00;EDF SA;Corse et/ou Outre Mer
Actions d'Efficacité Énergétique;http://opendata-corse-outremer.edf.fr/explore/dataset/actions-defficacite-energetique/;Bilan annuel des différentes actions d'efficacité énergétique menées chez les particuliers par EDF en Corse & Outre-mer (offres Agir +)  Liste des opérations suivies : isolation thermiquelampe basse consommation (LBC)LEDchauffe-eau solaire individuel (CESI)chauffe-eau thermodynamique (CET)chaudière et appareil boisasservissement chauffe-eau électrique climatiseur performant (DOM) et pompe à chaleur (Corse)appareil blanc performant (réfrigérateur, congélateur, lave-linge, lave-vaisselle)coupe veilleéconomiseur d'eau (kit);2022-09-02T15:57:31+02:00;EDF SA;Corse et/ou Outre Mer
Emissions annuelles de CO2;http://opendata-corse-outremer.edf.fr/explore/dataset/emissions-c02/;Ce jeu de données inclut les émissions directes totales annuelles de CO2 liées à la production d'électricité (en kt) insulaire au périmètre quota CO2. Ces données sont publiées annuellement dans le registre des émissions polluantes - outils géorisques.;2022-08-31T18:26:40+02:00;EDF SA;Corse et/ou Outre Mer
Signal réseau Guyane - Recharge véhicule électrique;http://opendata-corse-outremer.edf.fr/explore/dataset/signal-reseau-guyane-recharge-vehicule-electrique/;"Les spécificités du système électrique  insulaire de la Guyane    incitent à prendre des précautions concernant le  développement de la    mobilité électrique.   EDF en Guyane propose ainsi, à travers   ce  jeu de données, un signal réseau  afin d'inciter le pilotage    intelligent de la recharge des véhicules  électriques en : 
Évitant les périodes de contraintes sur le réseau, et notamment la pointe de consommation du soirDiminuant     l’impact CO2 en favorisant la recharge pendant les heures où le mix     électrique est moins carboné (heures solaires principalement) La valeur 1 signifie que le créneau est favorable et que le recharge est conseillée.    La valeur 0 signifie que le créneau est défavorable et que la recharge est à éviter si possible.  Le fuseau horaire des données est celui de la Guyane (UTC-3)  Une authentification (compte) est nécessaire pour l'utilisation  régulière  de l'API, en particulier dans le cadre du programme ADVENIR  ZNI (voir  pièce-jointe). Vous pouvez adresser vos questions à l'adresse suivante : sei-opendata@edf.fr";2022-02-08T18:15:53+01:00;EDF SA;Corse et/ou Outre Mer
Pylônes HTB - Guyane;http://opendata-corse-outremer.edf.fr/explore/dataset/pylones-htb-guy/;"Ce
jeu de données représente la position des pylônes HTB sur l’ensemble du réseau électrique
exploité par EDF en Guyane. 
Ces données sont publiées à titre purement indicatif, EDF ne peut
garantir leur exactitude et leur exhaustivité. Des mises à jour seront publiées
régulièrement.";2022-02-08T18:01:41+01:00;EDF SA;Corse et/ou Outre Mer
Lignes haute tension (HTB aérien) - Guadeloupe;http://opendata-corse-outremer.edf.fr/explore/dataset/lignes-haute-tension-htb-aerien-gua/;"Ce jeu de données présente l'ensemble des lignes haute tension (HTB)
aériennes de Guadeloupe. 
Ces données sont publiées à titre purement indicatif, EDF ne peut garantir
leur exactitude et leur exhaustivité. Des mises à jour seront publiées
régulièrement.";2022-02-08T17:52:14+01:00;EDF SA;Corse et/ou Outre Mer
Lignes haute tension (HTA souterrain) - Guadeloupe;http://opendata-corse-outremer.edf.fr/explore/dataset/lignes-haute-tension-hta-souterrain1/;"Ce
jeu de données présente l'ensemble des lignes haute tension (HTA) souterraines
de Guadeloupe. 
Ces
données sont publiées à titre purement indicatif, EDF ne peut garantir leur
exactitude et leur exhaustivité. Des mises à jour seront publiées régulièrement.";2022-02-08T17:49:58+01:00;EDF SA;Corse et/ou Outre Mer
Pylônes HTB - Réunion;http://opendata-corse-outremer.edf.fr/explore/dataset/pylones-htb-run/;"Ce
jeu de données représente la position des pylônes HTB sur l’ensemble du réseau électrique
exploité par EDF sur l'île de la Réunion. 
Ces
données sont publiées à titre purement indicatif, EDF ne peut garantir leur
exactitude et leur exhaustivité. Des mises à jour seront publiées
régulièrement.";2022-02-08T17:43:33+01:00;EDF SA;Corse et/ou Outre Mer
Pylônes HTB - Martinique;http://opendata-corse-outremer.edf.fr/explore/dataset/pylones-htb-mar/;"Ce
jeu de données représente la position des pylônes HTB sur l’ensemble du réseau électrique
exploité par EDF en Martinique.
Ces
données sont publiées à titre purement indicatif, EDF ne peut garantir leur
exactitude et leur exhaustivité. Des mises à jour seront publiées
régulièrement.";2022-02-08T17:38:51+01:00;EDF SA;Corse et/ou Outre Mer
Lignes basse tension (BT aérien) - Martinique;http://opendata-corse-outremer.edf.fr/explore/dataset/lignes-basse-tension-bt-aerien-mar/;"Ce
jeu de données présente l'ensemble des lignes basse tension (BT) aériennes de Martinique. 
Ces
données sont publiées à titre purement indicatif, EDF ne peut garantir leur
exactitude et leur exhaustivité. Des mises à jour seront publiées
régulièrement.";2022-02-08T17:37:43+01:00;EDF SA;Corse et/ou Outre Mer
Signal réseau Corse - Recharge véhicule électrique;http://opendata-corse-outremer.edf.fr/explore/dataset/signal-reseau-corse-recharge-vehicule-electrique/;"Les spécificités du système électrique insulaire de la Corse incitent
 à prendre des précautions concernant le développement de la mobilité 
électrique. Il est notamment recommandé dans la Programmation 
Pluriannuelle de l'Energie (PPE) de la Corse de ""développer et installer
 des bornes de recharges adaptées aux Zones Non Interconnectées (ZNI) et
 communicantes"", permettant notamment au ""gestionnaire du système de 
prévenir des contraintes sur le réseau"".   EDF en Corse propose 
ainsi, à travers ce jeu de données, un signal réseau afin d'inciter le 
pilotage intelligent de la recharge des véhicules électriques en : Évitant les périodes de contraintes sur le réseau, et notamment la pointe de consommation du soirDiminuant
 l’impact CO2 en favorisant la recharge pendant les heures où le mix 
électrique est moins carboné (heures solaires principalement) La valeur 1 signifie que le créneau est favorable et que le recharge est conseillée.   La valeur 0 signifie que le créneau est défavorable et que la recharge est à éviter si possible.  Une
 authentification (compte) est nécessaire pour l'utilisation  régulière 
 de l'API, en particulier dans le cadre du programme ADVENIR  ZNI (voir 
 pièce-jointe).";2020-06-09T15:02:13+02:00;EDF SA;Corse et/ou Outre Mer
Capacités d'accueil du réseau;http://opendata-corse-outremer.edf.fr/explore/dataset/capacites-reseau/;Capacité d'accueil par poste source (en MW) pour le raccordement aux réseaux de transport (HTB) et de distribution (HTA) des installations de production d'électricité.  Si le territoire concerné dispose d'un S3REnR, indication de la capacité d'accueil  réservée et restante au titre du S3REnR (MW), ainsi que du montant de la quote-part à s'acquitter pour un raccordement (k€/MW).;2022-10-21T12:29:53+02:00;EDF SA;Corse et/ou Outre Mer
Postes HTA / BT - Guadeloupe;http://opendata-corse-outremer.edf.fr/explore/dataset/postes-hta-bt-gua/;"Ce
jeu de données représente la position des postes de distribution publique
(postes HTA/BT) sur l’ensemble du réseau de distribution exploité par EDF en Guadeloupe.
Ces données sont publiées à titre purement indicatif, EDF ne peut
garantir leur exactitude et leur exhaustivité. Des mises à jour seront publiées
régulièrement.";2022-02-08T18:19:53+01:00;EDF SA;Corse et/ou Outre Mer
Postes HTA/BT - Corse;http://opendata-corse-outremer.edf.fr/explore/dataset/postes-htabt/;"Ce
jeu de données représente la position des postes de distribution publique
(postes HTA/BT) sur l’ensemble du réseau de distribution exploité par EDF en Corse.
Ces
données sont publiées à titre purement indicatif, EDF ne peut garantir leur
exactitude et leur exhaustivité. Des mises à jour seront publiées
régulièrement.";2022-02-08T18:09:20+01:00;EDF SA;Corse et/ou Outre Mer
Lignes haute tension (HTA aérien) - Corse;http://opendata-corse-outremer.edf.fr/explore/dataset/lignes-haute-tension-hta-aerien/;"Ce
jeu de données présente l'ensemble des lignes haute tension (HTA) aériennes de Corse. 
Ces données sont publiées à titre purement indicatif, EDF ne peut
garantir leur exactitude et leur exhaustivité. Des mises à jour seront publiées
régulièrement.";2022-02-08T17:57:03+01:00;EDF SA;Corse et/ou Outre Mer
